Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.31131959636150486
75% Corpus,2,0.01,0.31,0.29642769607087266
75% Corpus,2,0.01,0.61,0.34654661308582246
75% Corpus,2,0.01,0.9099999999999999,0.3823409494833221
75% Corpus,2,0.01,symmetric,0.2622146380268726
75% Corpus,2,0.31,0.01,0.2554342455202551
75% Corpus,2,0.31,0.31,0.26395968197095393
75% Corpus,2,0.31,0.61,0.2798324202282402
75% Corpus,2,0.31,0.9099999999999999,0.2484544610147968
75% Corpus,2,0.31,symmetric,0.259326131171252
75% Corpus,2,0.61,0.01,0.2856759209773606
75% Corpus,2,0.61,0.31,0.3596227214668619
75% Corpus,2,0.61,0.61,0.406477423376404
75% Corpus,2,0.61,0.9099999999999999,0.39464734028657433
75% Corpus,2,0.61,symmetric,0.3869387613038774
75% Corpus,2,0.9099999999999999,0.01,0.2937611003011462
75% Corpus,2,0.9099999999999999,0.31,0.38053631785895087
75% Corpus,2,0.9099999999999999,0.61,0.40029758597143983
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.4138743627481819
75% Corpus,2,0.9099999999999999,symmetric,0.3958943258223032
75% Corpus,2,symmetric,0.01,0.2935853098366324
75% Corpus,2,symmetric,0.31,0.3213920792065945
75% Corpus,2,symmetric,0.61,0.38118319515471477
75% Corpus,2,symmetric,0.9099999999999999,0.37972106146074447
75% Corpus,2,symmetric,symmetric,0.3809545649292189
75% Corpus,2,asymmetric,0.01,0.290781911295908
75% Corpus,2,asymmetric,0.31,0.32423627838752006
75% Corpus,2,asymmetric,0.61,0.3561874323984173
75% Corpus,2,asymmetric,0.9099999999999999,0.3676041038653594
75% Corpus,2,asymmetric,symmetric,0.3514403032681128
75% Corpus,3,0.01,0.01,0.3087687539120067
75% Corpus,3,0.01,0.31,0.3121320555076544
75% Corpus,3,0.01,0.61,0.3857678859149945
75% Corpus,3,0.01,0.9099999999999999,0.4168622345485729
75% Corpus,3,0.01,symmetric,0.32493035507057016
75% Corpus,3,0.31,0.01,0.3325688410235919
75% Corpus,3,0.31,0.31,0.3201163525682804
75% Corpus,3,0.31,0.61,0.3378935634804576
75% Corpus,3,0.31,0.9099999999999999,0.4352712916229901
75% Corpus,3,0.31,symmetric,0.33517595622602153
75% Corpus,3,0.61,0.01,0.357941988709279
75% Corpus,3,0.61,0.31,0.3483024978584203
75% Corpus,3,0.61,0.61,0.33861883535710247
75% Corpus,3,0.61,0.9099999999999999,0.3506811057093644
75% Corpus,3,0.61,symmetric,0.3483024978584202
75% Corpus,3,0.9099999999999999,0.01,0.34213327853055436
75% Corpus,3,0.9099999999999999,0.31,0.34570587639530775
75% Corpus,3,0.9099999999999999,0.61,0.35592922311269953
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.36270955838506586
75% Corpus,3,0.9099999999999999,symmetric,0.35033746030137136
75% Corpus,3,symmetric,0.01,0.3480285810060779
75% Corpus,3,symmetric,0.31,0.331284568695595
75% Corpus,3,symmetric,0.61,0.350126038504222
75% Corpus,3,symmetric,0.9099999999999999,0.41790749384381964
75% Corpus,3,symmetric,symmetric,0.331284568695595
75% Corpus,3,asymmetric,0.01,0.3248590121666579
75% Corpus,3,asymmetric,0.31,0.3738431014916002
75% Corpus,3,asymmetric,0.61,0.40948467342532574
75% Corpus,3,asymmetric,0.9099999999999999,0.4109593418950042
75% Corpus,3,asymmetric,symmetric,0.3780676649042823
75% Corpus,4,0.01,0.01,0.2749960235194725
75% Corpus,4,0.01,0.31,0.25604161023828315
75% Corpus,4,0.01,0.61,0.3349459694397288
75% Corpus,4,0.01,0.9099999999999999,0.3348179729189694
75% Corpus,4,0.01,symmetric,0.24405301570562862
75% Corpus,4,0.31,0.01,0.28319346961775627
75% Corpus,4,0.31,0.31,0.2972769246379403
75% Corpus,4,0.31,0.61,0.32332054270858923
75% Corpus,4,0.31,0.9099999999999999,0.3728010539648239
75% Corpus,4,0.31,symmetric,0.27796814580205986
75% Corpus,4,0.61,0.01,0.33599748251734013
75% Corpus,4,0.61,0.31,0.331413546784594
75% Corpus,4,0.61,0.61,0.3430651009126728
75% Corpus,4,0.61,0.9099999999999999,0.41050977339782546
75% Corpus,4,0.61,symmetric,0.3292541823945834
75% Corpus,4,0.9099999999999999,0.01,0.35570158467890445
75% Corpus,4,0.9099999999999999,0.31,0.33466746636003153
75% Corpus,4,0.9099999999999999,0.61,0.3473474957277184
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.36867713850811423
75% Corpus,4,0.9099999999999999,symmetric,0.3302151641629713
75% Corpus,4,symmetric,0.01,0.30209894665978176
75% Corpus,4,symmetric,0.31,0.29888118663496244
75% Corpus,4,symmetric,0.61,0.3923637841582265
75% Corpus,4,symmetric,0.9099999999999999,0.3814383369376404
75% Corpus,4,symmetric,symmetric,0.32461925664215285
75% Corpus,4,asymmetric,0.01,0.3200346092044932
75% Corpus,4,asymmetric,0.31,0.44125842171781615
75% Corpus,4,asymmetric,0.61,0.4951691270871449
75% Corpus,4,asymmetric,0.9099999999999999,0.4486979088918846
75% Corpus,4,asymmetric,symmetric,0.40966746028635154
75% Corpus,5,0.01,0.01,0.32602520052372974
